case,index,output,candidates,original_support,selected_support,seconds,status
test01,0,t_eco_o,3,3,3,0.040445,PASS
test02,0,t_eco_y_7_,11,3,3,0.042574,PASS
test02,1,t_eco_y_6_,11,3,3,0.035671,PASS
test02,2,t_eco_y_5_,11,9,9,0.03714,PASS
test02,3,t_eco_y_4_,11,6,6,0.037882,PASS
test02,4,t_eco_y_3_,11,4,4,0.048134,PASS
test02,5,t_eco_y_2_,11,4,4,0.035352,PASS
test02,6,t_eco_y_1_,11,4,4,0.042405,PASS
test02,7,t_eco_y_0_,11,4,4,0.036998,PASS
test02,8,t_eco_parity,11,2,2,0.034955,PASS
test02,9,t_eco_overflow,11,3,3,0.043743,PASS
test02,10,t_eco_greater,11,2,2,0.036858,PASS
test02,11,t_eco_is_eq,11,2,2,0.040207,PASS
test02,12,t_eco_less,11,1,1,0.039122,PASS
test03,0,t_eco_y_7_,23,18,18,0.048959,PASS
test03,1,t_eco_y_6_,23,20,20,0.050742,PASS
test03,2,t_eco_y_5_,23,21,21,0.053065,PASS
test03,3,t_eco_y_4_,23,20,20,0.07166,PASS
test03,4,t_eco_y_3_,23,20,20,0.065239,PASS
test03,5,t_eco_y_2_,23,19,19,0.057029,PASS
test03,6,t_eco_y_1_,23,19,19,0.055721,PASS
test03,7,t_eco_y_0_,23,19,19,0.055567,PASS
test03,8,t_eco_parity,23,20,20,0.227095,PASS
test03,9,t_eco_overflow,23,11,11,0.0431,PASS
test03,10,t_eco_greater,23,13,13,0.042695,PASS
test03,11,t_eco_is_eq,23,13,13,0.049382,PASS
test03,12,t_eco_less,23,12,12,0.041501,PASS
test04,0,t_eco_Sync,2,1,1,0.039655,PASS
test04,1,t_eco_Gate,2,0,0,0.03692,PASS
test04,2,t_eco_Done,2,1,1,0.035077,PASS
test05,0,t_eco_Sync,1,1,1,0.039082,PASS
test05,1,t_eco_Gate,1,0,0,0.038198,PASS
test05,2,t_eco_Done,1,0,0,0.036504,PASS
test06,0,t_eco_Sync,26,1,1,0.038339,PASS
test06,1,t_eco_Gate,26,0,0,0.043395,PASS
test06,2,t_eco_Done,26,0,0,0.035989,PASS
test06,3,t_eco_cnt_15_,26,3,3,0.037349,PASS
test06,4,t_eco_cnt_14_,26,3,3,0.037647,PASS
test06,5,t_eco_cnt_13_,26,3,3,0.036047,PASS
test06,6,t_eco_cnt_12_,26,3,3,0.038071,PASS
test06,7,t_eco_cnt_11_,26,3,3,0.038306,PASS
test06,8,t_eco_cnt_10_,26,3,3,0.041742,PASS
test06,9,t_eco_cnt_9_,26,3,3,0.035494,PASS
test06,10,t_eco_cnt_8_,26,3,3,0.037478,PASS
test06,11,t_eco_cnt_7_,26,4,4,0.043906,PASS
test06,12,t_eco_cnt_6_,26,4,4,0.03706,PASS
test06,13,t_eco_cnt_5_,26,4,4,0.040369,PASS
test06,14,t_eco_cnt_4_,26,4,4,0.038357,PASS
test06,15,t_eco_cnt_3_,26,4,4,0.042512,PASS
test06,16,t_eco_cnt_2_,26,4,4,0.037893,PASS
test06,17,t_eco_cnt_1_,26,4,4,0.042622,PASS
test06,18,t_eco_cnt_0_,26,4,4,0.038044,PASS
test07,0,t_eco_Sync,26,1,1,0.037828,PASS
test07,1,t_eco_Gate,26,0,0,0.0414,PASS
test07,2,t_eco_Done,26,0,0,0.036665,PASS
test07,3,t_eco_cnt_15_,26,3,3,0.037407,PASS
test07,4,t_eco_cnt_14_,26,3,3,0.037719,PASS
test07,5,t_eco_cnt_13_,26,3,3,0.036809,PASS
test07,6,t_eco_cnt_12_,26,3,3,0.035676,PASS
test07,7,t_eco_cnt_11_,26,3,3,0.036854,PASS
test07,8,t_eco_cnt_10_,26,3,3,0.036818,PASS
test07,9,t_eco_cnt_9_,26,3,3,0.037492,PASS
test07,10,t_eco_cnt_8_,26,3,3,0.03647,PASS
test07,11,t_eco_cnt_7_,26,4,4,0.046038,PASS
test07,12,t_eco_cnt_6_,26,4,4,0.0359,PASS
test07,13,t_eco_cnt_5_,26,4,4,0.037659,PASS
test07,14,t_eco_cnt_4_,26,4,4,0.038464,PASS
test07,15,t_eco_cnt_3_,26,4,4,0.036419,PASS
test07,16,t_eco_cnt_2_,26,4,4,0.035854,PASS
